"@Caption","インターネット利用率（個人）の推移","","","",""
"@Creator","令和4年版情報通信白書","","","",""
"@Date","2022-07-29","","","",""
"@Language","ja","","","",""
"@@Title","ja","","","",""
"","インターネット利用率（個人）","","","",""
"@@Unit","ja","","","",""
"","％","","","",""
"@@Baseval","","","","",""
"","0.01","","","",""
"@@Datatype","","","","",""
"xsd:string","xsd:double","","","",""
"@Note","","","","",""
"1997","9.2","","","",""
"1998","13.4","","","",""
"1999","21.4","","","",""
"2000","37.1","","","",""
"2001","46.3","","","",""
"2002","57.8","","","",""
"2003","64.3","","","",""
"2004","66.0","","","",""
"2005","70.8","","","",""
"2006","72.6","","","",""
"2007","73.0","","","",""
"2008","75.3","","","",""
"2009","78.0","","","",""
"2010","78.2","","","",""
"2011","79.1","","","",""
"2012","79.5","","","",""
"2013","82.8","","","",""
"2014","82.8","","","",""
"2015","83.0","","","",""
"2016","83.5","","","",""
"2017","80.9","","","",""
"2018","79.8","","","",""
"2019","89.8","","","",""
"2020","83.4","","","",""
"2021","82.9","","","",""
