"@Caption","情報通信機器の世帯保有率の推移","","","","","","","","",""
"@Creator","令和4年版情報通信白書","","","","","","","","",""
"@Date","2022-07-29","","","","","","","","",""
"@Language","ja","","","","","","","","",""
"@@Title","ja","","","","","","","","",""
"","固定電話","ＦＡＸ","モバイル端末全体","スマートフォン","パソコン","タブレット型端末","ウェアラブル端末","インターネットに接続できる家庭用テレビゲーム機","インターネットに接続できる携帯型音楽プレイヤー","その他インターネットに接続できる家電（スマート家電）等"
"@@Unit","ja","","","","","","","","",""
"","％","％","％","％","％","％","％","％","％","％"
"@@Baseval","","","","","","","","","",""
"","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"@@Datatype","","","","","","","","","",""
"xsd:string","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double"
"@Note","","","","","","","","","",""
"1999","-","34.2","67.7","","37.7","","","","",""
"2000","","40.4","78.5","","50.5","","","","",""
"2001","","41.4","78.2","","58.0","","","9.0","",""
"2002","","50.8","87.6","","71.7","","","11.0","","3.2"
"2003","","53.9","94.4","","78.2","","","11.1","","3.2"
"2004","","52.9","92.2","","77.5","","","12.0","","4.5"
"2005","90.7","50.4","90.0","","80.5","","","11.1","","4.1"
"2006
（n=4,999）","90.1","50.0","91.3","","80.8","","","10.7","14.3","3.4"
"2007
（n=3,640）","90.7","55.4","95.0","","85.0","","","15.2","19.1","4.3"
"2009
（n=4,547）","91.2","57.1","96.3","","87.2","","","25.9","27.3","7.6"
"2010
（n=22,271）","85.8","43.8","93.2","9.7","83.4","7.2","","23.3","17.0","3.5"
"2011
（n=16,530）","83.8","45.0","94.5","29.3","77.4","8.5","","24.5","20.1","6.2"
"2012
（n=20,418）","79.3","41.5","94.5","49.5","75.8","15.3","","29.5","21.4","12.7"
"2013
（n=15,599）","79.1","46.4","94.8","62.6","81.7","21.9","","38.3","23.8","8.8"
"2014
（n=16,529）","75.7","41.8","94.6","64.2","78.0","26.3","0.5","33.0","18.4","7.6"
"2015
（n=14,765）","75.6","42.0","95.8","72.0","76.8","33.3","0.9","33.7","17.3","8.1"
"2016
（n=17,040）","72.2","38.1","94.7","71.8","73.0","34.4","1.1","31.4","15.3","9.0"
"2017
（n=16,117）","70.6","35.3","94.8","75.1","72.5","36.4","1.9","31.4","13.8","2.1"
"2018
（n=16,255）","64.5","34.0","95.7","79.2","74.0","40.1","2.5","30.9","14.2","6.9"
"2019
（n=15,410）","69.0","33.1","96.1","83.4","69.1","37.4","4.7","25.2","10.8","3.6"
"2020
（n=17,345）","68.1","33.6","96.8","86.8","70.1","38.7","5.0","29.8","9.8","7.5"
"2021
（n=17,365）","66.5","31.3","97.3","88.6","69.8","39.4","7.1","31.7","9.0","9.3"
